"Data","À vista R$","À vista US$","inx"
"02/01/2018","455.34","139.68","0"
"03/01/2018","453.41","139.85","1"
"04/01/2018","454.29","140.78","2"
"05/01/2018","454.80","140.76","3"
"08/01/2018","449.10","138.87","4"
"09/01/2018","448.34","138.04","5"
"10/01/2018","448.24","138.86","6"
"11/01/2018","445.41","138.15","7"
"12/01/2018","443.64","138.29","8"
"15/01/2018","444.70","138.58","9"
"16/01/2018","442.55","137.06","10"
"17/01/2018","445.29","138.50","11"
"18/01/2018","443.82","138.22","12"
"19/01/2018","443.86","138.75","13"
"22/01/2018","445.71","138.94","14"
"23/01/2018","443.62","136.84","15"
"24/01/2018","443.31","139.54","16"
"25/01/2018","441.12","140.53","17"
"26/01/2018","444.62","141.33","18"
"29/01/2018","443.88","140.20","19"
"30/01/2018","442.06","139.14","20"
"31/01/2018","444.18","139.37","21"
"01/02/2018","439.89","138.81","22"
"02/02/2018","439.64","136.87","23"
"05/02/2018","440.31","135.69","24"
"06/02/2018","442.67","136.63","25"
"07/02/2018","442.33","134.94","26"
"08/02/2018","442.31","134.77","27"
"09/02/2018","444.83","134.47","28"
"14/02/2018","442.81","137.09","29"
"15/02/2018","441.95","136.53","30"
"16/02/2018","434.47","134.97","31"
"19/02/2018","433.90","134.17","32"
"20/02/2018","433.39","133.23","33"
"21/02/2018","433.90","133.47","34"
"22/02/2018","435.45","134.15","35"
"23/02/2018","435.47","134.36","36"
"26/02/2018","434.37","134.19","37"
"27/02/2018","435.70","134.18","38"
"28/02/2018","436.49","134.80","39"
"01/03/2018","437.48","134.36","40"
"02/03/2018","437.18","134.47","41"
"05/03/2018","429.48","132.27","42"
"06/03/2018","431.90","134.63","43"
"07/03/2018","432.83","133.38","44"
"08/03/2018","430.98","132.04","45"
"09/03/2018","430.28","132.39","46"
"12/03/2018","429.83","132.05","47"
"13/03/2018","434.54","133.13","48"
"14/03/2018","431.57","132.22","49"
"15/03/2018","426.73","129.67","50"
"16/03/2018","427.10","130.45","51"
"19/03/2018","427.36","130.02","52"
"20/03/2018","426.22","128.85","53"
"21/03/2018","427.16","130.59","54"
"22/03/2018","429.91","130.20","55"
"23/03/2018","424.28","128.03","56"
"26/03/2018","425.43","128.80","57"
"27/03/2018","429.78","129.06","58"
"28/03/2018","428.96","128.82","59"
"29/03/2018","427.18","129.41","60"
"02/04/2018","424.46","127.93","61"
"03/04/2018","426.01","127.70","62"
"04/04/2018","425.57","127.53","63"
"05/04/2018","425.44","127.26","64"
"06/04/2018","428.07","127.02","65"
"09/04/2018","429.15","126.18","66"
"10/04/2018","431.07","126.56","67"
"11/04/2018","429.50","127.11","68"
"12/04/2018","433.34","127.38","69"
"13/04/2018","430.78","125.85","70"
"16/04/2018","428.19","125.13","71"
"17/04/2018","428.92","126.01","72"
"18/04/2018","425.59","125.99","73"
"19/04/2018","427.57","126.16","74"
"20/04/2018","427.02","125.15","75"
"23/04/2018","432.81","125.53","76"
"24/04/2018","437.75","126.19","77"
"25/04/2018","436.60","125.21","78"
"26/04/2018","437.32","125.70","79"
"27/04/2018","439.13","126.84","80"
"30/04/2018","440.67","125.69","81"
"02/05/2018","449.30","126.63","82"
"03/05/2018","453.95","128.74","83"
"04/05/2018","451.15","128.09","84"
"07/05/2018","445.31","125.30","85"
"08/05/2018","447.24","125.24","86"
"09/05/2018","445.49","123.61","87"
"10/05/2018","444.31","125.30","88"
"11/05/2018","448.47","124.47","89"
"14/05/2018","443.00","122.21","90"
"15/05/2018","445.21","121.58","91"
"16/05/2018","445.28","121.07","92"
"17/05/2018","452.17","122.04","93"
"18/05/2018","455.80","121.77","94"
"21/05/2018","458.01","124.22","95"
"22/05/2018","455.47","125.13","96"
"23/05/2018","451.98","124.62","97"
"24/05/2018","454.34","124.61","98"
"25/05/2018","456.17","124.20","99"
"28/05/2018","454.95","121.74","100"
"29/05/2018","457.17","122.04","101"
"30/05/2018","456.63","122.09","102"
"01/06/2018","459.52","122.08","103"
"04/06/2018","458.06","122.48","104"
"05/06/2018","459.14","120.48","105"
"06/06/2018","460.50","120.61","106"
"07/06/2018","465.92","118.86","107"
"08/06/2018","455.68","122.59","108"
"11/06/2018","451.09","121.29","109"
"12/06/2018","455.19","122.49","110"
"13/06/2018","449.82","121.02","111"
"14/06/2018","450.93","118.76","112"
"15/06/2018","449.29","120.71","113"
"18/06/2018","448.99","119.79","114"
"19/06/2018","446.42","119.27","115"
"20/06/2018","446.05","118.10","116"
"21/06/2018","447.97","118.89","117"
"22/06/2018","445.34","117.94","118"
