"data","preco_real","preco_dolar","qtd_meses","taxa_juros","preco_vietna","valor_dolar"
"Jun-02","106.37"," 39.10 ","1","1.33","65.73","2.72"
"Jul-02","104.70"," 35.66 ","2","1.54","69.80","2.94"
"Aug-02","109.21"," 35.22 ","3","1.44","72.48","3.10"
"Sep-02","136.04"," 40.78 ","4","1.38","94.40","3.35"
"Oct-02","167.72"," 44.13 ","5","1.65","114.58","3.80"
"Nov-02","187.65"," 52.40 ","6","1.54","134.89","3.58"
"Dec-02","184.13"," 50.48 ","7","1.74","146.87","3.65"
"Jan-03","190.74"," 55.49 ","8","1.97","151.33","3.44"
"Feb-03","193.03"," 53.70 ","9","1.83","151.68","3.59"
"Mar-03","174.97"," 50.86 ","10","1.78","130.25","3.44"
"Apr-03","175.00"," 56.28 ","11","1.87","125.43","3.11"
"May-03","172.99"," 58.38 ","12","1.97","115.89","2.96"
"Jun-03","159.58"," 55.40 ","13","1.86","106.01","2.88"
"Jul-03","162.77"," 56.48 ","14","2.08","116.56","2.88"
"Aug-03","173.51"," 57.78 ","15","1.77","133.20","3.00"
"Sep-03","173.90"," 59.50 ","16","1.68","129.13","2.92"
"Oct-03","167.35"," 58.52 ","17","1.64","125.04","2.86"
"Nov-03","167.69"," 57.54 ","18","1.34","127.28","2.91"
"Dec-03","174.53"," 59.66 ","19","1.37","131.69","2.93"
"Jan-04","193.24"," 67.77 ","20","1.27","139.81","2.85"
"Feb-04","203.52"," 69.56 ","21","1.08","133.66","2.93"
"Mar-04","206.22"," 71.00 ","22","1.38","124.47","2.90"
"Apr-04","202.10"," 69.56 ","23","1.18","122.33","2.91"
"May-04","217.53"," 69.97 ","24","1.23","132.27","3.11"
"Jun-04","239.77"," 76.59 ","25","1.23","137.78","3.13"
"Jul-04","200.61"," 66.04 ","26","1.29","127.72","3.04"
"Aug-04","198.98"," 66.33 ","27","1.29","132.80","3.00"
"Sep-04","219.27"," 75.87 ","28","1.25","140.24","2.89"
"Oct-04","215.95"," 75.67 ","29","1.21","137.36","2.85"
"Nov-04","240.38"," 86.34 ","30","1.25","136.73","2.79"
"Dec-04","269.70"," 99.15 ","31","1.48","138.95","2.72"
"Jan-05","284.40"," 105.65 ","32","1.38","145.35","2.69"
"Feb-05","305.07"," 117.44 ","33","1.22","152.87","2.60"
"Mar-05","337.03"," 124.59 ","34","1.53","153.94","2.70"
"Apr-05","336.40"," 130.52 ","35","1.41","149.40","2.58"
"May-05","324.55"," 132.44 ","36","1.50","159.31","2.45"
"Jun-05","300.90"," 124.61 ","37","1.59","160.85","2.41"
"Jul-05","255.61"," 107.64 ","38","1.51","155.90","2.38"
"Aug-05","253.87"," 107.61 ","39","1.66","150.28","2.36"
"Sep-05","230.41"," 100.43 ","40","1.50","147.37","2.29"
"Oct-05","244.36"," 108.29 ","41","1.41","150.47","2.26"
"Nov-05","252.90"," 114.44 ","42","1.38","160.12","2.21"
"Dec-05","248.13"," 108.62 ","43","1.47","163.78","2.28"
"Jan-06","291.50"," 128.30 ","44","1.43","179.55","2.27"
"Feb-06","269.75"," 124.73 ","45","1.15","179.42","2.16"
